,0
تهران،تهران،سعادت آباد,9915
تهران،تهران،شهرک غرب,6785
تهران،تهران،تهرانپارس (منطقه ۴),4973
تهران،تهران،ستارخان,4798
تهران،تهران،پونک,4426
تهران،تهران،نارمک,4154
تهران،تهران،جنت آباد,4111
تهران،تهران،ونک,3855
تهران،تهران،شریعتی,3835
تهران،تهران،پاسداران,3832
تهران،تهران،پیروزی,3830
تهران،تهران،یوسف آباد,3792
تهران،تهران،نیاوران,3565
اصفهان،اصفهان،سایر مناطق (خارج شهر),2934
تهران،تهران،قیطریه,2850
تهران،تهران،تهران_آزادی,2838
اصفهان،اصفهان،پروین,2604
تهران،تهران،بلوار فردوس,2594
تهران،تهران،گیشا,2581
تهران،تهران،سهروردی,2460
تهران،تهران،میرداماد,2263
تهران،تهران،سیدخندان,2142
تهران،تهران،تهران,2094
تهران،تهران،صادقیه,2083
تهران،تهران،زعفرانیه,2057
تهران،تهران،جردن,2039
تهران،تهران،بلوار مرزداران,2019
تهران،تهران،هروی,1974
تهران،تهران،فاطمی,1937
تهران،تهران،تهرانپارس (منطقه 8),1918
تهران،تهران،چیتگر,1902
تهران،تهران،ولنجک,1889
تهران،تهران،آیت الله کاشانی,1875
تهران،تهران،اشرفی اصفهانی,1828
خراسان رضوی،مشهد،مشهد,1777
تهران،تهران،فرمانیه,1771
تهران،تهران،شهران,1690
تهران،تهران،مرزداران,1661
تهران،تهران،ظفر,1630
تهران،تهران،امیرآباد,1578
تهران،تهران،قلهک,1564
تهران،تهران،شهرک اکباتان,1557
تهران،تهران،الهیه,1530
تهران،تهران،شهرری,1496
تهران،تهران،تجریش,1494
تهران،تهران،باغ فیض,1490
تهران،تهران،ولیعصر,1464
تهران،تهران،جردن  -  ولیعصر,1408
تهران،تهران،تهرانسر,1400
البرز،کرج،مهرشهر(کرج),1382
تهران،تهران،نیروی هوایی,1373
تهران،تهران،میدان انقلاب,1295
تهران،تهران،جمهوری,1269
تهران،تهران،طرشت,1227
تهران،تهران،تهران نو,1214
تهران،تهران،مطهری (منطقه ۷),1194
کرمان،کرمان،خورشید,1185
تهران،تهران،کریمخان,1172
تهران،تهران،کارگر شمالی,1163
تهران،تهران،شهرزیبا,1159
تهران،تهران،عباس آباد,1108
تهران،تهران،پیچ شمرون,1103
تهران،تهران،دولت,1079
تهران،تهران،آزادی,1069
تهران،تهران،شمس آباد  -  مجیدیه,1060
تهران،تهران،اقدسیه,1053
تهران،تهران،فردوس غرب,1046
تهران،تهران،حکیمیه,1046
تهران،تهران،مجیدیه شمالی,1009
تهران،تهران،بزرگراه نواب صفوی,1002
تهران،تهران،پردیس,986
تهران،تهران،میدان شهدا,979
البرز،کرج،گوهردشت(کرج),972
تهران،تهران،دروس,961
تهران،تهران،شهرک راه آهن,957
تهران،تهران،اختیاریه,956
تهران،تهران،میدان ولیعصر,952
تهران،تهران،ازگل,901
تهران،تهران،جیحون,852
تهران،تهران،ملاصدرا,820
تهران،تهران،میدان هفت تیر,817
تهران،تهران،منیریه,814
تهران،تهران،سردار جنگل,811
تهران،تهران،سبلان,787
تهران،تهران،آرژانتین  -  ساعی,784
تهران،تهران،مجیدیه جنوبی,784
