,0
تهران،تهران،میدان امام حسین,23225
تهران،تهران،قیام,17931
اصفهان،اصفهان،سایر مناطق (خارج شهر),8505
تهران،تهران،رودکی,8291
تهران،تهران،آزادی,6221
تهران،تهران،پیروزی,6013
تهران،تهران،چیتگر,5595
تهران،تهران،شریعتی,4851
تهران،تهران،بزرگراه نواب صفوی,4667
تهران،تهران،میدان انقلاب,4186
تهران،تهران،اسلام شهر,4003
تهران،تهران،شهرری,3971
تهران،تهران،دروازه شمیران,3562
تهران،تهران،تهرانپارس (منطقه ۴),3465
تهران،تهران،آزادگان,3430
تهران،تهران،افسریه,3170
تهران،تهران،سبلان,3144
تهران،تهران،قلعه حسن خان,3123
تهران،تهران،شهریار,3120
تهران،تهران،جنت آباد,3008
تهران،تهران،رباطکریم,2800
تهران،تهران،نصرت,2711
البرز،کرج،محمد شهر(کرج),2563
تهران،تهران،شهرک غرب,2499
تهران،تهران،سعادت آباد,2489
تهران،تهران،تهران_آزادی,2393
تهران،تهران،نسیم شهر,2258
تهران،تهران،نازی آباد,2164
تهران،تهران،ورامین,2082
تهران،تهران،17 شهریور,2080
تهران،تهران،شهرک ولیعصر,2072
تهران،تهران،سیدخندان,2017
تهران،تهران،یافت آباد,2005
تهران،تهران،بهار,1972
اصفهان،اصفهان،زینبیه,1955
تهران،تهران،مرزداران,1939
تهران،تهران،ونک,1885
البرز،کرج،آزادگان(کرج),1840
تهران،تهران،میدان ولیعصر,1748
تهران،تهران،نظام آباد,1743
تهران،تهران،خاوران,1633
خراسان رضوی،مشهد،مشهد,1633
تهران،تهران،نارمک,1581
البرز،کرج،حصارک(کرج),1445
البرز،کرج،مهرشهر(کرج),1445
تهران،تهران،هلال احمر,1419
تهران،تهران،محمد شهر(کرج),1357
تهران،تهران،خیابان وحدت اسلامی,1318
تهران،تهران،آذربایجان,1316
تهران،تهران،فلاح,1305
تهران،تهران،ستارخان,1246
البرز،کرج،فردیس(کرج),1233
تهران،تهران،میدان خراسان,1129
تهران،تهران،میدان شهدا,1127
خراسان رضوی،مشهد،بلوار‌توس,1126
تهران،تهران،کارون,1096
تهران،تهران،13 آبان,1086
البرز،کرج،گوهردشت(کرج),1073
فارس،شیراز،میانرود,1046
تهران،تهران،آیت الله سعیدی,999
تهران،تهران،جمهوری,992
تهران،تهران،تهرانپارس (منطقه 8),958
البرز،کرج،کرج - کرج,910
تهران،تهران،شمیران نو,896
تهران،تهران،آریا شهر,879
فارس،شیراز،شهرک بزین,870
تهران،تهران،رسالت,860
خراسان رضوی،مشهد،قاسم‌أباد (شهرک غرب),859
خراسان رضوی،مشهد،طبرسی,853
تهران،تهران،شهر جدید اندیشه,851
البرز،کرج،گلشهر(کرج),849
تهران،تهران،جیحون,832
اصفهان،اصفهان،جی,796
تهران،تهران،شهرک اکباتان,752
تهران،تهران،خانی آباد,741
تهران،تهران،تجریش,734
تهران،تهران،امامزاده قاسم,729
تهران،تهران،کیانشهر,713
تهران،تهران،میدان فردوسی,702
تهران،تهران،لویزان  -  شیان,683
تهران،تهران،پونک,671
تهران،تهران،جاده مخصوص کرج,670
تهران،تهران،میدان هفت تیر,669
تهران،تهران،فاطمی,668
تهران،تهران،مهرآباد جنوبی,667
تهران،تهران،پرند,653
البرز،کرج،کمالشهر(کرج),650
البرز،کرج،باغستان(کرج),629
تهران،تهران،ملارد,629
البرز،کرج،مشکین دشت(کرج),629
تهران،تهران،ولنجک,626
کرمان،کرمان،بلوار هوانیروز,625
تهران،تهران،خلیج فارس,618
تهران،تهران،تهرانسر,614
تهران،تهران،خیابان قزوین,601
قم،قم،کیوانفر,600
تهران،تهران،وحیدیه,584
تهران،تهران،شکوفه,583
تهران،تهران،خیابان دماوند,583
تهران،تهران،قیطریه,580
تهران،تهران،بزرگراه رسالت,561
خراسان رضوی،مشهد،مصلی,559
تهران،تهران،بریانک,556
تهران،تهران،نعمت آباد,547
تهران،تهران،میدان راه آهن,541
البرز،کرج،بلوار شهرداری(کرج),539
تهران،تهران،خیام,538
تهران،تهران،پاسداران,537
تهران،تهران،بلوار فردوس,537
تهران،تهران،حصارک(کرج),536
تهران،تهران،یوسف آباد,535
فارس،شیراز،بلوار رحمت,517
البرز،کرج،سایر- کرج,516
البرز،کرج،ماهدشت(کرج),515
اصفهان،اصفهان،آتشگاه,512
تهران،تهران،نیروی هوایی,510
تهران،تهران،شهرک شریعتی,509
البرز،کرج،شهر جدید اندیشه(کرج),502
تهران،تهران،ولیعصر,500
تهران،تهران،بزرگراه شهید خرازی,493
تهران،تهران،گیشا,491
تهران،تهران،باغ فیض,487
تهران،تهران،شهید رجایی,481
اصفهان،اصفهان،ملک شهر,479
تهران،تهران،مجیدیه شمالی,478
تهران،تهران،شوش,465
تهران،تهران،نیاوران,463
تهران،تهران،آیت الله کاشانی,458
اصفهان،اصفهان،بهارستان (حومه),457
تهران،تهران،مهرشهر(کرج),457
تهران،تهران،جوادیه,450
البرز،کرج،جهانشهر(کرج),447
تهران،تهران،جردن  -  ولیعصر,440
تهران،تهران،هفت تیر,439
کرمان،کرمان،بلوار 24 آذر,426
تهران،تهران،خزانه,423
خراسان رضوی،مشهد،مطهری شمالی,417
تهران،تهران،شهید مدنی,413
تهران،تهران،بلوار پروین,412
