,0
تهران،تهران،سعادت آباد,8921
تهران،تهران،شهرک غرب,6254
تهران،تهران،تهرانپارس (منطقه ۴),4410
تهران،تهران،ستارخان,4408
تهران،تهران،پونک,3859
تهران،تهران،نارمک,3693
تهران،تهران،ونک,3629
تهران،تهران،جنت آباد,3593
تهران،تهران،پاسداران,3468
تهران،تهران،شریعتی,3457
تهران،تهران،پیروزی,3427
تهران،تهران،یوسف آباد,3422
تهران،تهران،نیاوران,3256
اصفهان،اصفهان،سایر مناطق (خارج شهر),2729
تهران،تهران،قیطریه,2584
اصفهان،اصفهان،پروین,2544
تهران،تهران،تهران_آزادی,2524
تهران،تهران،گیشا,2354
تهران،تهران،بلوار فردوس,2290
تهران،تهران،سهروردی,2281
تهران،تهران،میرداماد,2044
تهران،تهران،سیدخندان,1948
تهران،تهران،زعفرانیه,1898
تهران،تهران،صادقیه,1895
تهران،تهران،جردن,1879
تهران،تهران،تهران,1863
تهران،تهران،بلوار مرزداران,1794
تهران،تهران،فاطمی,1776
تهران،تهران،ولنجک,1760
تهران،تهران،هروی,1738
تهران،تهران،تهرانپارس (منطقه 8),1697
تهران،تهران،چیتگر,1670
تهران،تهران،آیت الله کاشانی,1667
تهران،تهران،اشرفی اصفهانی,1619
خراسان رضوی،مشهد،مشهد,1614
تهران،تهران،فرمانیه,1563
تهران،تهران،مرزداران,1507
تهران،تهران،ظفر,1484
تهران،تهران،شهران,1476
تهران،تهران،امیرآباد,1430
تهران،تهران،شهرک اکباتان,1406
تهران،تهران،قلهک,1401
تهران،تهران،الهیه,1378
تهران،تهران،ولیعصر,1368
تهران،تهران،تجریش,1367
تهران،تهران،شهرری,1326
تهران،تهران،جردن  -  ولیعصر,1278
تهران،تهران،باغ فیض,1265
تهران،تهران،نیروی هوایی,1256
تهران،تهران،تهرانسر,1218
البرز،کرج،مهرشهر(کرج),1204
تهران،تهران،میدان انقلاب,1193
کرمان،کرمان،خورشید,1185
تهران،تهران،جمهوری,1149
تهران،تهران،طرشت,1094
تهران،تهران،کریمخان,1088
تهران،تهران،مطهری (منطقه ۷),1087
تهران،تهران،تهران نو,1075
تهران،تهران،کارگر شمالی,1031
تهران،تهران،عباس آباد,1027
تهران،تهران،شهرزیبا,1013
تهران،تهران،پیچ شمرون,1003
تهران،تهران،آزادی,999
تهران،تهران،دولت,973
تهران،تهران،اقدسیه,938
تهران،تهران،شمس آباد  -  مجیدیه,923
تهران،تهران،حکیمیه,919
تهران،تهران،میدان شهدا,906
تهران،تهران،پردیس,895
تهران،تهران،فردوس غرب,894
تهران،تهران،مجیدیه شمالی,890
تهران،تهران،بزرگراه نواب صفوی,878
تهران،تهران،میدان ولیعصر,868
تهران،تهران،دروس,852
تهران،تهران،شهرک راه آهن,849
البرز،کرج،گوهردشت(کرج),835
تهران،تهران،اختیاریه,819
تهران،تهران،ازگل,799
تهران،تهران،میدان هفت تیر,754
تهران،تهران،جیحون,748
تهران،تهران،ملاصدرا,735
تهران،تهران،آرژانتین  -  ساعی,732
تهران،تهران،اتوبان صدر,729
تهران،تهران،منیریه,727
تهران،تهران،سردار جنگل,719
تهران،تهران،میدان رسالت,716
تهران،تهران،دربند,697
تهران،تهران،شیخ بهایی,696
تهران،تهران،بلوار کشاورز,680
تهران،تهران،مجیدیه جنوبی,673
تهران،تهران،سبلان,672
تهران،تهران،باغ صبا  -  سهروردی,663
تهران،تهران،اتوبان محلاتی,657
البرز،کرج،عظیمیه(کرج),634
تهران،تهران،نظام آباد,633
تهران،تهران،شهرآرا,622
تهران،تهران،استاد معین,613
تهران،تهران،شهرک محلاتی,607
تهران،تهران،نازی آباد,572
خراسان رضوی،مشهد،قاسم‌أباد (شهرک غرب),565
تهران،تهران،شاهین (منطقه 5 ),564
تهران،تهران،خیابان دماوند,564
تهران،تهران،فلسطین  -  انقلاب,554
تهران،تهران،استاد حسن بنا,553
تهران،تهران،لویزان  -  شیان,552
تهران،تهران،هفت تیر,551
تهران،تهران،افسریه,549
تهران،تهران،بهارستان,548
تهران،تهران،فرشته,545
تهران،تهران،خیابان بهشتی,542
تهران،تهران،جمالزاده,539
تهران،تهران،آجودانیه,536
تهران،تهران،شهر جدید اندیشه,532
تهران،تهران،دیباجی,527
اصفهان،اصفهان،کاوه,527
تهران،تهران،شهرک الهیه غرب,523
تهران،تهران،سازمان برنامه,512
تهران،تهران،17 شهریور,512
تهران،تهران،میدان امام حسین,511
تهران،تهران،شهریار,510
تهران،تهران،آریا شهر,508
تهران،تهران،بزرگراه رسالت,501
تهران،تهران،ستاری,499
اصفهان،اصفهان،ملک شهر,499
اصفهان،اصفهان،جی,498
تهران،تهران،لواسان,485
تهران،تهران،کردستان,481
البرز،کرج،گلشهر(کرج),480
البرز،کرج،سایر- کرج,479
البرز،کرج،فردیس(کرج),474
تهران،تهران،اتوبان تهران کرج,468
تهران،تهران،آذربایجان,468
تهران،تهران،رودکی,466
تهران،تهران،تهران ویلا,458
آذربایجان شرقی،تبریز،ولیعصر,453
تهران،تهران،بلوار ارتش شرق,450
تهران،تهران،بهار,449
اصفهان،اصفهان،بزرگمهر,445
تهران،تهران،دروازه شمیران,444
تهران،تهران،محمودیه,444
تهران،تهران،بریانک,443
تهران،تهران،مینی سیتی,442
خراسان رضوی،مشهد،وکیل آباد,441
البرز،کرج،باغستان(کرج),435
تهران،تهران،دهکده المپیک,430
تهران،تهران،نامجو,427
تهران،تهران،اوین,423
تهران،تهران،فرجام,421
تهران،تهران،میدان خراسان,421
تهران،تهران،بزرگراه جلال آل احمد,419
تهران،تهران،توانیر,413
تهران،تهران،کامرانیه,406
تهران،تهران،شهرک ولیعصر,401
تهران،تهران،میدان فردوسی,401
تهران،تهران،قائم مقام  -  سنائی,400
اصفهان،اصفهان،رباط,395
تهران،تهران،گاندی,394
خراسان رضوی،مشهد،هفت تیر,393
تهران،تهران،میدان سپاه,390
تهران،تهران،خیابان امام خمینی,387
