,0
تهران،تهران،میدان امام حسین,23022
تهران،تهران،قیام,17925
تهران،تهران،رودکی,8272
اصفهان،اصفهان،سایر مناطق (خارج شهر),8073
تهران،تهران،آزادی,6064
تهران،تهران،چیتگر,5595
تهران،تهران،پیروزی,5113
تهران،تهران،شریعتی,4759
تهران،تهران،میدان انقلاب,4186
تهران،تهران،بزرگراه نواب صفوی,3857
تهران،تهران،اسلام شهر,3702
تهران،تهران،دروازه شمیران,3562
تهران،تهران،تهرانپارس (منطقه ۴),3367
تهران،تهران،افسریه,3170
تهران،تهران،شهرری,3108
تهران،تهران،شهریار,3000
تهران،تهران،رباطکریم,2800
تهران،تهران،قلعه حسن خان,2799
تهران،تهران،نصرت,2711
تهران،تهران،سبلان,2536
تهران،تهران،تهران_آزادی,2339
تهران،تهران،آزادگان,2321
تهران،تهران،نسیم شهر,2258
تهران،تهران،نازی آباد,2153
تهران،تهران،17 شهریور,2080
تهران،تهران،ورامین,2078
تهران،تهران،سیدخندان,2016
تهران،تهران،یافت آباد,1984
اصفهان،اصفهان،زینبیه,1955
تهران،تهران،بهار,1943
تهران،تهران،سعادت آباد,1900
البرز،کرج،آزادگان(کرج),1831
تهران،تهران،نظام آباد,1743
تهران،تهران،میدان ولیعصر,1737
تهران،تهران،ونک,1492
تهران،تهران،خاوران,1447
البرز،کرج،حصارک(کرج),1431
تهران،تهران،شهرک ولیعصر,1348
خراسان رضوی،مشهد،مشهد,1319
تهران،تهران،آذربایجان,1316
تهران،تهران،فلاح,1274
البرز،کرج،فردیس(کرج),1225
تهران،تهران،شهرک غرب,1178
تهران،تهران،ستارخان,1150
تهران،تهران،میدان خراسان,1129
تهران،تهران،میدان شهدا,1127
خراسان رضوی،مشهد،بلوار‌توس,1126
تهران،تهران،کارون,1094
تهران،تهران،13 آبان,1084
فارس،شیراز،میانرود,1046
تهران،تهران،آیت الله سعیدی,998
البرز،کرج،گوهردشت(کرج),997
تهران،تهران،جمهوری,992
تهران،تهران،هلال احمر,983
تهران،تهران،خیابان وحدت اسلامی,964
تهران،تهران،تهرانپارس (منطقه 8),956
البرز،کرج،مهرشهر(کرج),953
تهران،تهران،شمیران نو,896
تهران،تهران،نارمک,891
فارس،شیراز،شهرک بزین,870
تهران،تهران،رسالت,857
خراسان رضوی،مشهد،طبرسی,853
تهران،تهران،شهر جدید اندیشه,849
البرز،کرج،گلشهر(کرج),849
تهران،تهران،جنت آباد,819
تهران،تهران،شهرک اکباتان,752
تهران،تهران،خانی آباد,738
تهران،تهران،تجریش,730
تهران،تهران،امامزاده قاسم,729
البرز،کرج،کرج - کرج,729
تهران،تهران،میدان فردوسی,702
تهران،تهران،میدان هفت تیر,669
تهران،تهران،جاده مخصوص کرج,669
تهران،تهران،مهرآباد جنوبی,666
تهران،تهران،پرند,653
تهران،تهران،آریا شهر,631
البرز،کرج،مشکین دشت(کرج),629
کرمان،کرمان،بلوار هوانیروز,625
تهران،تهران،ملارد,614
تهران،تهران،خلیج فارس,611
تهران،تهران،خیابان قزوین,601
قم،قم،کیوانفر,599
البرز،کرج،باغستان(کرج),593
تهران،تهران،شکوفه,583
تهران،تهران،خیابان دماوند,583
تهران،تهران،جیحون,581
تهران،تهران،قیطریه,580
