,0
تهران،تهران،سعادت آباد,994
تهران،تهران،پونک,567
تهران،تهران،تهرانپارس (منطقه ۴),563
تهران،تهران،شهرک غرب,531
تهران،تهران،جنت آباد,518
تهران،تهران،نارمک,461
تهران،تهران،پیروزی,403
تهران،تهران،ستارخان,390
تهران،تهران،شریعتی,378
تهران،تهران،یوسف آباد,370
تهران،تهران،پاسداران,364
تهران،تهران،تهران_آزادی,314
تهران،تهران،نیاوران,309
تهران،تهران،بلوار فردوس,304
تهران،تهران،قیطریه,266
تهران،تهران،هروی,236
تهران،تهران،چیتگر,232
تهران،تهران،تهران,231
تهران،تهران،گیشا,227
تهران،تهران،ونک,226
تهران،تهران،بلوار مرزداران,225
تهران،تهران،باغ فیض,225
تهران،تهران،تهرانپارس (منطقه 8),221
تهران،تهران،میرداماد,219
تهران،تهران،شهران,214
تهران،تهران،اشرفی اصفهانی,209
تهران،تهران،آیت الله کاشانی,208
تهران،تهران،فرمانیه,208
اصفهان،اصفهان،سایر مناطق (خارج شهر),205
تهران،تهران،سیدخندان,194
تهران،تهران،صادقیه,188
تهران،تهران،تهرانسر,182
تهران،تهران،سهروردی,179
البرز،کرج،مهرشهر(کرج),178
تهران،تهران،شهرری,170
تهران،تهران،قلهک,163
خراسان رضوی،مشهد،مشهد,163
تهران،تهران،فاطمی,161
تهران،تهران،جردن,160
تهران،تهران،زعفرانیه,159
تهران،تهران،مرزداران,154
تهران،تهران،الهیه,152
تهران،تهران،فردوس غرب,152
تهران،تهران،شهرک اکباتان,151
تهران،تهران،امیرآباد,148
تهران،تهران،شهرزیبا,146
تهران،تهران،ظفر,146
تهران،تهران،تهران نو,139
تهران،تهران،شمس آباد  -  مجیدیه,137
تهران،تهران،اختیاریه,137
البرز،کرج،گوهردشت(کرج),137
تهران،تهران،طرشت,133
تهران،تهران،کارگر شمالی,132
تهران،تهران،جردن  -  ولیعصر,130
تهران،تهران،ولنجک,129
تهران،تهران،حکیمیه,127
تهران،تهران،تجریش,127
خراسان رضوی،مشهد،قاسم‌أباد (شهرک غرب),125
تهران،تهران،بزرگراه نواب صفوی,124
تهران،تهران،جمهوری,120
تهران،تهران،مجیدیه شمالی,119
تهران،تهران،نیروی هوایی,117
تهران،تهران،اقدسیه,115
تهران،تهران،سبلان,115
تهران،تهران،مجیدیه جنوبی,111
تهران،تهران،خیابان امام خمینی,110
تهران،تهران،دروس,109
تهران،تهران،افسریه,108
تهران،تهران،شهرک راه آهن,108
تهران،تهران،مطهری (منطقه ۷),107
تهران،تهران،دولت,106
تهران،تهران،جیحون,104
تهران،تهران،میدان انقلاب,102
تهران،تهران،شاهین (منطقه 5 ),102
تهران،تهران،ازگل,102
تهران،تهران،پیچ شمرون,100
تهران،تهران،جمالزاده,100
تهران،تهران،نظام آباد,97
تهران،تهران،ولیعصر,96
تهران،تهران،نازی آباد,95
تهران،تهران،لویزان  -  شیان,93
البرز،کرج،فردیس(کرج),92
تهران،تهران،سردار جنگل,92
تهران،تهران،اتوبان محلاتی,92
تهران،تهران،پردیس,91
تهران،تهران،شهرآرا,89
تهران،تهران،منیریه,87
تهران،تهران،سازمان برنامه,85
تهران،تهران،ملاصدرا,85
تهران،تهران،کریمخان,84
تهران،تهران،میدان ولیعصر,84
تهران،تهران،دیباجی,84
البرز،کرج،سایر- کرج,83
تهران،تهران،آذربایجان,81
تهران،تهران،عباس آباد,81
تهران،تهران،استاد معین,79
تهران،تهران،شیخ بهایی,77
البرز،کرج،عظیمیه(کرج),77
تهران،تهران،شهریار,76
تهران،تهران،شهرک الهیه غرب,75
البرز،کرج،گلشهر(کرج),74
تهران،تهران،میدان شهدا,73
تهران،تهران،یافت آباد,71
تهران،تهران،آزادی,70
تهران،تهران،دهکده المپیک,69
تهران،تهران،رودکی,69
تهران،تهران،بلوار ارتش شرق,68
تهران،تهران،میدان رسالت,66
تهران،تهران،شهرک ولیعصر,66
تهران،تهران،میدان هفت تیر,63
البرز،کرج،باغستان(کرج),61
تهران،تهران،بلوار کشاورز,60
تهران،تهران،ستاری,60
اصفهان،اصفهان،پروین,60
تهران،تهران،مهرآباد جنوبی,60
تهران،تهران،درکه,60
تهران،تهران،شهرک نفت,58
تهران،تهران،بریانک,57
تهران،تهران،بهار,57
تهران،تهران،دارآباد,57
تهران،تهران،باغ صبا  -  سهروردی,57
تهران،تهران،خیابان دماوند,56
تهران،تهران،آنلاین,56
تهران،تهران،کامرانیه,56
تهران،تهران،توانیر,56
تهران،تهران،کارون,54
تهران،تهران،بهارستان,54
تهران،تهران،فلسطین  -  انقلاب,54
تهران،تهران،اوین,54
تهران،تهران،سوهانک,54
خراسان رضوی،مشهد،وکیل آباد,53
تهران،تهران،آریا شهر,53
تهران،تهران،گاندی,52
تهران،تهران،اسلام شهر,52
تهران،تهران،آرژانتین  -  ساعی,52
تهران،تهران،خیابان کارگر جنوبی,51
تهران،تهران،خاوران,50
تهران،تهران،هفت تیر,49
تهران،تهران،شهر جدید اندیشه,49
تهران،تهران،امیریه,48
تهران،تهران،کوهستان,48
تهران،تهران،نامجو,48
تهران،تهران،فرشته,47
تهران،تهران،هنگام,47
تهران،تهران،میدان خراسان,46
تهران،تهران،بزرگراه جلال آل احمد,46
تهران،تهران،کوی بیمه,46
اصفهان،اصفهان،جی,46
آذربایجان شرقی،تبریز،ولیعصر,46
تهران،تهران،آجودانیه,46
تهران،تهران،سایر- کرج,46
تهران،تهران،شهرک محلاتی,45
تهران،تهران،بزرگراه رسالت,45
تهران،تهران،مینی سیتی,45
تهران،تهران،خیابان قزوین,45
تهران،تهران،مفتح,44
تهران،تهران،ابوذر (منطقه 14),44
تهران،تهران،بازار,44
تهران،تهران،پرند,43
تهران،تهران،پیامبر مرکزی,43
تهران،تهران،لواسان,43
تهران،تهران،دروازه شمیران,43
تهران،تهران،وردآورد,43
البرز،کرج،مهرویلا(کرج),43
تهران،تهران،فرجام,43
تهران،تهران،ایرانشهر,42
تهران،تهران،خیابان وحدت اسلامی,42
تهران،تهران،فلاح,42
تهران،تهران،رسالت,42
خراسان رضوی،مشهد،بلوار‌توس,42
تهران،تهران،شهید مدنی,42
خراسان رضوی،مشهد،هاشمیه,41
تهران،تهران،سئول,41
تهران،تهران،هاشمی,41
تهران،تهران،استاد حسن بنا,41
تهران،تهران،اتوبان تهران کرج,40
تهران،تهران،بزرگراه ارتش,40
تهران،تهران،دامپزشکی,39
تهران،تهران،اجاره دار,39
خراسان رضوی،مشهد،پیروزی,39
تهران،تهران،بزرگراه شهید خرازی,39
تهران،تهران،تهران ویلا,38
تهران،تهران،دولت اباد,38
تهران،تهران،دبستان  -  مجیدیه,38
تهران،تهران،قنات کوثر,38
تهران،تهران،17 شهریور,38
تهران،تهران،کردستان,38
تهران،تهران،کرمان,37
البرز،کرج،شهرک بنفشه(کرج),37
البرز،کرج،منظریه(کرج),37
تهران،تهران،میدان المپیک,37
تهران،تهران،میدان سپاه,36
فارس،شیراز،فرهنگ شهر,36
تهران،تهران،خیابان حافظ,36
تهران،تهران،هفده شهریور,35
اصفهان،اصفهان،خانه اصفهان,35
تهران،تهران،اتوبان بابایی,35
فارس،شیراز،معالی آباد,34
اصفهان،اصفهان،بزرگمهر,34
تهران،تهران،محمودیه,34
تهران،تهران،خزانه,34
تهران،تهران،خانی آباد,34
تهران،تهران،سعدی,34
البرز،کرج،جهانشهر(کرج),33
اصفهان،اصفهان،کاوه,33
تهران،تهران،مشیریه,33
خراسان رضوی،مشهد،سجاد,33
تهران،تهران،رودهن,32
تهران،تهران،سراج,32
تهران،تهران،کاشانک,32
تهران،تهران،خیابان بهشتی,32
تهران،تهران،میدان امام حسین,32
تهران،تهران،دربند,32
تهران،تهران،جوادیه,32
تهران،تهران،حشمتیه,32
تهران،تهران،آبشار,32
تهران،تهران،ابوذر (منطقه 15),31
البرز،کرج،کیانمهر(کرج),31
تهران،تهران،کیانشهر,29
البرز،کرج،محمد شهر(کرج),29
تهران،تهران،شهرک آزادی,29
البرز،کرج،گرمدره(کرج),29
تهران،تهران،شاد آباد,29
تهران،تهران،میدان حر,29
تهران،تهران،بلوار تعاون,29
تهران،تهران،گلبرگ غربی,29
تهران،تهران،جاده مخصوص کرج,29
تهران،تهران،اتوبان همت,28
تهران،تهران،فرحزاد,28
تهران،تهران،بهشت زهرا,28
تهران،تهران،عباس آباد  -  اندیشه,28
تهران،تهران،هفت حوض,28
قم،قم،پردیسان,28
تهران،تهران،مهرشهر(کرج),28
البرز،کرج،شاهین ویلا(کرج),27
تهران،تهران،کمیل,27
تهران،تهران،آیت الله سعیدی,27
تهران،تهران،خیابان آفریقا,27
خراسان رضوی،مشهد،صیاد‌شیرازی,27
اصفهان،اصفهان،رباط,27
تهران،تهران،کن,27
تهران،تهران،ابوذر (منطقه 17),26
خراسان رضوی،مشهد،فرامرز عباسی,26
خراسان رضوی،مشهد،اندیشه,26
تهران،تهران،ورامین,26
فارس،شیراز،امیرکبیر,25
تهران،تهران،همت غرب,25
خوزستان،اهواز،زیتون کارمندی,25
خراسان رضوی،مشهد،خیام,25
تهران،تهران،خلیج فارس,25
قم،قم،شهرک قدس,25
تهران،تهران،جی – شبیری,25
تهران،تهران،شهرک ژاندارمری,25
تهران،تهران،میدان فردوسی,25
فارس،شیراز،قصردشت,25
تهران،تهران،خواجه نظام الملک,24
گیلان،رشت،گلسار,24
تهران،تهران،قائم مقام  -  سنائی,24
تهران،تهران،آهنگ,24
تهران،تهران،اتوبان صدر,24
قم،قم،توحید,24
اصفهان،اصفهان،ملک شهر,24
تهران،تهران،قصر,23
تهران،تهران،پرستار,23
خراسان رضوی،مشهد،معلم,23
تهران،تهران،دردشت,22
تهران،تهران،امامزاده حسن,22
قم،قم،زنبیل آباد (شهید صدوقی),22
خراسان رضوی،مشهد،هفت تیر,22
تهران،تهران،سنگلج,22
خراسان رضوی،مشهد،۱۷ شهریور,22
تهران،تهران،میدان راه آهن,21
خراسان رضوی،مشهد،طلاب,21
اصفهان،اصفهان،مرداویج ( بین میدان ازادی و فرایبورگ),21
تهران،تهران،شهرک آپادانا,21
تهران،تهران،سی متری جی,21
اصفهان،اصفهان،امام خمینی,21
اصفهان،اصفهان،سایر مناطق (داخل شهر),21
تهران،تهران،اتوبان باکری,21
اصفهان،اصفهان،حکیم نظامی,20
البرز،کرج،دهقان ویلا(کرج),20
خراسان رضوی،مشهد،بلوار هاشمی رفسنجانی,20
تهران،تهران،چهاردانگه,20
البرز،کرج،کمالشهر(کرج),20
تهران،تهران،علم و صنعت,20
تهران،تهران،وحیدیه,20
فارس،شیراز،پاسداران,20
تهران،تهران،مهران,20
تهران،تهران،دروازه دولت,20
البرز،کرج،آزادگان(کرج),19
البرز،کرج،مارلیک(کرج),19
تهران،تهران،نیایش,19
تهران،تهران،قلعه حسن خان,19
اصفهان،اصفهان،بهارستان (حومه),19
البرز،کرج،شهرک وحدت(کرج),18
تهران،تهران،جماران,18
خراسان رضوی،مشهد،جانباز,18
تهران،تهران،ملارد,18
خراسان رضوی،مشهد،امامت,18
خراسان رضوی،مشهد،رضا‌شهر,18
آذربایجان شرقی،تبریز،باغمیشه,18
خراسان رضوی،مشهد،بلوار ایرج میرزا,18
تهران،تهران،شوش,18
البرز،کرج،بلوار شهرداری(کرج),18
تهران،تهران،خرمشهر,18
تهران،تهران،ده ونک,18
تهران،تهران،صفا,18
خراسان رضوی،مشهد،فکوری,18
گلستان،گرگان،راه آهن,17
تهران،تهران،تسلیحات,17
تهران،تهران،ارتش,17
خراسان رضوی،مشهد،کوهسنگی,17
خراسان رضوی،مشهد،دانشجو,17
اصفهان،اصفهان،سه‌راه سیمین,17
تهران،تهران،بهبودی,17
البرز،کرج،حصارک(کرج),17
فارس،شیراز،بلوار مدرس,17
آذربایجان شرقی،تبریز،ائل گلی,17
فارس،شیراز،صدرا فاز یک,17
تهران،تهران،دستگردی,16
آذربایجان شرقی،تبریز،ابوریحان,16
تهران،تهران،یاخچی آباد,16
البرز،کرج،مصباح(کرج),16
تهران،تهران،پل چوبی,16
خراسان رضوی،مشهد،سرافرازان,16
تهران،تهران،میدان دانشگاه,16
تهران،تهران،بلوار پاکنژاد,16
خوزستان،اهواز،کیانپارس شرقی,15
تهران،تهران،امامت,15
تهران،تهران،گوهردشت(کرج),15
خوزستان،اهواز،کیانپارس غربی,15
تهران،تهران،شکوفه,15
تهران،تهران،دزاشیب  -  جوزستان,15
خراسان رضوی،مشهد،مصلی,15
تهران،تهران،وزرا,15
بوشهر،بوشهر،باغ زهرا,15
فارس،شیراز،شهرک الهیه غرب,15
آذربایجان شرقی،تبریز،یاغچیان,15
خراسان رضوی،مشهد،ابوطالب,15
خراسان رضوی،مشهد،هدایت,15
خوزستان،اهواز،فاز 1 و 2 کوروش,15
اصفهان،اصفهان،چهار باغ بالا,15
اصفهان،اصفهان،هزارجریب,14
البرز،کرج،کلاک(کرج),14
تهران،تهران،پاتریس لومومبا,14
تهران،تهران،کمالشهر(کرج),14
کرمان،کرمان،بلوار جمهوری اسلامی,14
اصفهان،اصفهان،بلوار کشاورز,14
اصفهان،اصفهان،آتشگاه,14
