,0
تهران،تهران،جنت آباد,2189
البرز،کرج،محمد شهر(کرج),2007
تهران،تهران،مرزداران,1766
تهران،تهران،شهرک غرب,1321
تهران،تهران،محمد شهر(کرج),1164
تهران،تهران،آزادگان,1109
تهران،تهران،پیروزی,900
تهران،تهران،شهرری,863
تهران،تهران،بزرگراه نواب صفوی,810
تهران،تهران،شهرک ولیعصر,724
تهران،تهران،نارمک,690
تهران،تهران،لویزان  -  شیان,630
تهران،تهران،سبلان,608
تهران،تهران،سعادت آباد,589
البرز،کرج،مهرشهر(کرج),492
تهران،تهران،کیانشهر,489
تهران،تهران،بلوار فردوس,445
تهران،تهران،فاطمی,445
تهران،تهران،هلال احمر,436
اصفهان،اصفهان،سایر مناطق (خارج شهر),432
تهران،تهران،ونک,393
تهران،تهران،مارلیک(کرج),379
تهران،تهران،تهرانسر,355
تهران،تهران،خیابان وحدت اسلامی,354
فارس،شیراز،معالی آباد,325
خراسان رضوی،مشهد،قاسم‌أباد (شهرک غرب),324
تهران،تهران،قلعه حسن خان,324
خراسان رضوی،مشهد،مشهد,314
تهران،تهران،اسلام شهر,301
البرز،کرج،بهشتی(کرج),274
تهران،تهران،نبی اکرم,257
البرز،کرج،سایر- کرج,255
تهران،تهران،جیحون,251
تهران،تهران،آریا شهر,248
خراسان رضوی،مشهد،پیروزی,242
تهران،تهران،ولنجک,239
اصفهان،اصفهان،جی,233
خوزستان،اهواز،فاز 2 پادادشهر,225
تهران،تهران،پونک,217
تهران،تهران،میدان امام حسین,203
البرز،کرج،کمالشهر(کرج),201
تهران،تهران،گوهردشت(کرج),187
تهران،تهران،خاوران,186
البرز،کرج،کرج - کرج,181
خراسان رضوی،مشهد،راهنمایی,177
تهران،تهران،اشرفی اصفهانی,177
تهران،تهران،هفت حوض,174
تهران،تهران،جوانمرد قصاب,171
تهران،تهران،شهران,158
تهران،تهران،آزادی,157
قم،قم،امام,132
تهران،تهران،یوسف آباد,126
اصفهان،اصفهان،ملک شهر,125
تهران،تهران،فرشته,121
تهران،تهران،شهریار,120
آذربایجان شرقی،تبریز،میدان آذربایجان,115
البرز،کرج،کرج - شهرک بنفشه,114
تهران،تهران،مهرشهر(کرج),112
تهران،تهران،دهکده المپیک,110
تهران،تهران،سهروردی,109
تهران،تهران،نیاوران,108
تهران،تهران،سردار جنگل,107
البرز،کرج،هفت تیر(کرج),103
تهران،تهران،شهید رجایی,103
تهران،تهران،تهرانپارس (منطقه ۴),98
تهران،تهران،ستارخان,96
تهران،تهران،شریعتی,92
خراسان رضوی،مشهد،توحید,88
البرز،کرج،شهر جدید اندیشه(کرج),85
تهران،تهران،پاسداران,83
فارس،شیراز،شهرک گلستان,79
فارس،شیراز،ادبیات,78
آذربایجان شرقی،تبریز،عباسی,78
گیلان،رشت،استقامت,76
البرز،کرج،گوهردشت(کرج),76
اصفهان،اصفهان،بزرگمهر,70
تهران،تهران،اتوبان تهران کرج,66
البرز،کرج،تهرانسر,61
البرز،کرج،عظیمیه(کرج),61
آذربایجان شرقی،تبریز،منطقه صنعتی تبریز,60
تهران،تهران،اتوبان همت,54
تهران،تهران،تهران_آزادی,54
تهران،تهران،صادقیه,53
یزد،یزد،دشتی  -  ایثار,51
فارس،شیراز،بلوار رحمت,50
خراسان رضوی،مشهد،هاشمیه,47
تهران،تهران،وحیدیه,45
تهران،تهران،زمزم,40
تهران،تهران،شهرک آزادی,39
کرمان،کرمان،بلوار جمهوری اسلامی,39
گیلان،رشت،سبزه میدان,39
تهران،تهران،فردوسی,39
قم،قم،آذر,38
البرز،کرج،باغستان(کرج),36
اصفهان،اصفهان،هزارجریب,34
کرمان،کرمان،بلوار 24 آذر,33
تهران،تهران،گاندی,33
تهران،تهران،فلاح,31
قم،قم،دورشهر,30
تهران،تهران،بهار,29
یزد،یزد،دشتی  -  ارتش,28
قم،قم،بلوار امین,27
تهران،تهران،آگاهی,26
تهران،تهران،ابوذر (منطقه 15),26
البرز،کرج،گیشا,25
اصفهان،اصفهان،سایر مناطق (داخل شهر),24
آذربایجان شرقی،تبریز،نصف راه,24
اصفهان،اصفهان،بیست و چهار متری,24
بوشهر،بوشهر،باغ زهرا,23
اصفهان،اصفهان،برازنده,23
کردستان،سنندج،پاسداران (۶ بهمن),22
تهران،تهران،میرداماد,22
تهران،تهران،یافت آباد,21
اصفهان،اصفهان،خمینی‌شهر,21
کردستان،سنندج،شهرک سعدی فاز 1,20
آذربایجان شرقی،تبریز،کوی فرودگاه تبریز,19
تهران،تهران،رودکی,19
تهران،تهران،شهرک راه آهن,19
خراسان رضوی،مشهد،سجاد,18
تهران،تهران،باغ فیض,17
قم،قم،دانیال,16
کردستان،سنندج،صفری,16
تهران،تهران،کریمخان,16
تهران،تهران،ملارد,15
تهران،تهران،کرج - کرج,14
همدان،همدان،میدان معلم,14
البرز،کرج،حصارک(کرج),14
اصفهان،اصفهان،شمس‌آباد,14
تهران،تهران،امامت,14
قم،قم،توحید,14
کردستان،سنندج،شهرک سعدی ضلع غربی,14
همدان،همدان،چهار باغ شهید چیت سازیان,14
آذربایجان شرقی،تبریز،سرآسیاب مهرآباد,13
فارس،شیراز،سعدی,13
همدان،همدان،خیابان زمانی,13
تهران،تهران،گیشا,13
فارس،شیراز،کلبه,13
فارس،شیراز،گلدشت معالی آباد,12
تهران،تهران،ابوذر (منطقه 17),12
تهران،تهران،پردیس,12
تهران،تهران،امیرآباد,12
اصفهان،اصفهان،رباط,12
البرز،کرج،کوی کارمندان شمالی(کرج),11
تهران،تهران،میدان ولیعصر,11
تهران،تهران،گلبرگ غربی,11
خراسان رضوی،سبزوار،سربداران,11
یزد،یزد،بلوار مطهری,11
تهران،تهران،نازی آباد,11
آذربایجان شرقی،تبریز،باغمیشه,11
تهران،تهران،مینی سیتی,10
کرمان،کرمان،پارک مطهری,10
البرز،کرج،آزادگان(کرج),9
کرمان،جیرفت،خیابان قرنی,9
اصفهان،اصفهان،حکیم نظامی,9
کرمانشاه،کرمانشاه،فرهنگیان فاز یک,9
تهران،تهران،مشیریه,9
کرمانشاه،کرمانشاه،بیست و دو بهمن,8
البرز،کرج،فردیس(کرج),8
اصفهان،اصفهان،پروین,8
تهران،تهران،بزرگراه رسالت,7
تهران،تهران،نیروی هوایی,7
خراسان رضوی،مشهد،رضا‌شهر,7
تهران،تهران،خلیج فارس,7
تهران،تهران،قیام,6
گیلان،رشت،بیستون,6
تهران،تهران،خزانه,6
کردستان،سنندج،پل بند (نظام‌آباد),5
فارس،شیراز،صدرا فاز یک,5
اصفهان،اصفهان،آبشار,5
اصفهان،اصفهان،شیخ صدوق,5
اصفهان،اصفهان،لنبان,5
البرز،هشتگرد و نظرآباد،راه آهن (هشتگرد),5
تهران،تهران،ورامین,4
کردستان،سنندج،شهرک سعدی فاز 2,4
اصفهان،اصفهان،خوراسگان,4
تهران،تهران،تجریش,4
تهران،تهران،فرجام,4
قزوین،قزوین،راه‌آهن,4
قزوین،قزوین،شهرک غیاث آباد,4
تهران،تهران،اقدسیه,4
تهران،تهران،اتوبان محلاتی,4
تهران،تهران،فردوس غرب,3
خوزستان،اهواز،فاز 4 کوروش,3
تهران،تهران،خیابان امام خمینی,3
خراسان رضوی،مشهد،هدایت,3
تهران،تهران،خانی آباد,3
تهران،تهران،رسالت,3
خراسان رضوی،مشهد،موسوی قوچانی,3
تهران،تهران،راه آهن,3
مازندران،بابل،شهرک اندیشه,3
مازندران،سلمانشهر (متل قو)،متل قو,3
تهران،تهران،اتوبان صدر,3
قزوین،قزوین،میدان قدس,3
بوشهر،بوشهر،امامزاده,3
خراسان رضوی،مشهد،آزاد شهر,3
کرمان،کرمان،خورشید,2
تهران،تهران،شهر جدید اندیشه,2
تهران،تهران،13 آبان,2
همدان،همدان،دره مرادبیگ,2
قم،قم،باجک (19 دی),2
آذربایجان شرقی،تبریز،یاغچیان,2
تهران،تهران،کارون,2
تهران،تهران،مجیدیه شمالی,2
تهران،تهران،جوادیه,2
تهران،تهران،شهرک محلاتی,2
تهران،تهران،شیخ بهایی,2
تهران،تهران،تهرانپارس (منطقه 8),2
خراسان رضوی،مشهد،سرافرازان,1
فارس،شیراز،سایر مناطق (داخل شهر),1
گیلان،رشت،قلی پور,1
تهران،تهران،سیدخندان,1
مرکزی،اراک،خیابان طالقانی,1
خراسان رضوی،مشهد،رسالت,1
گیلان،رشت،گلسار,1
تهران،تهران،هاشمی,1
قم،قم،کیوانفر,1
بوشهر،بوشهر،بهمنی,1
تهران،تهران،دانشگاه تهران,1
تهران،تهران،آیت الله سعیدی,1
مازندران،آمل،شیخ فضل الله نوری,1
همدان،همدان،خیابان 18 متری شکریه,1
البرز،کرج،اسلام آباد(کرج),1
مرکزی،اراک،شهرک نبئی,1
اصفهان،اصفهان،قائمیه,1
فارس،شیراز،بعثت,1
تهران،تهران،زعفرانیه,1
خوزستان،اهواز،کیانپارس غربی,1
خراسان رضوی،سبزوار،پرستش,1
تهران،تهران،مهرآباد جنوبی,1
قزوین،قزوین،شهرک کوثر,1
تهران،تهران،جاده مخصوص کرج,1
