location,lats,longs
تهران،تهران،بهشت زهرا,51.3749201,35.5430317
تهران،تهران،بزرگراه اشرفی اصفهانی,51.3314105,35.7508762
تهران،تهران،چهارباغ پایین,51.40813529826617,35.8102960918867
تهران،تهران،کرمان,51.4739299,35.7330259
تهران،تهران،ورامین,51.5887402,35.4073619
تهران،تهران،جوادیه,51.38782,35.6593804
تهران،تهران،کاوه,51.44258672011104,35.7808676
البرز،کرج،یوسف آباد,50.90203988888997,35.67709943945984
تهران،تهران،شهران,51.520322,35.6737039
تهران،تهران،آگاهی,51.4013005,35.6649063
تهران،تهران،قلمستان  -  برادران جوادیان,51.3966003,35.6724754
تهران،تهران،جمالزاده,51.3882841,35.6972201
تهران،تهران،استاد حسن بنا,51.4779668,35.7564677
تهران،تهران،ابوذر,51.4897808,35.6811427
تهران،تهران،امیرکبیر,51.4369112,35.6837972
تهران،تهران،هفت تیر,51.425816,35.7152591
تهران،تهران،رضا‌شهر,51.340169187113496,35.58700500400327
تهران،تهران،فرجام,51.5035075,35.7383703
تهران،تهران،زنبیل آباد (شهید صدوقی),51.33362472883608,35.742806434377606
تهران،تهران،وحیدیه,51.0263766,35.6062379
تهران،تهران،هنرستان,51.4857442,35.6136366
تهران،تهران،امام خمینی,51.4203056,35.6858518
تهران،تهران،فلکه گاز,51.32241981318836,35.701141422262346
البرز،کرج،فرگاز(کرج),50.98148024137438,35.78545452849404
تهران،تهران،رباطکریم,51.0515404,35.4862079
تهران،تهران،نازی آباد,51.4024937,35.6415378
تهران،تهران،دولت,51.3782098,35.6888077
تهران،تهران،شاهین (منطقه 14 ),51.299947,35.7533584
تهران،تهران،بزرگراه یادگار امام جنوب,51.34834939961952,35.784362900000005
البرز،کرج،شاهین ویلا(کرج),50.9544123,35.8520421
تهران،تهران،مخصوص,51.3892558,35.6781781
تهران،تهران،نیایش,51.3688026,35.7181802
البرز،کرج،شهرک اوج(کرج),50.9988686,35.8606935
تهران،تهران،جاده لاهیجان,50.77952438590858,35.9233596940107
البرز،کرج،شهرک راه آهن,51.00314716727533,35.70728316642511
تهران،تهران،کوثر,51.4382344,35.6637145
تهران،تهران،سالاریه,51.4646035,35.7941297
تهران،تهران،زمزم,51.3735926,35.6525617
تهران،تهران،مهرشهر(کرج),50.9372662,35.8160722
تهران،تهران،شیخ فضل الله,51.3472974,35.7122687
تهران،تهران،بلوار جمهوری اسلامی,51.3162729,35.6061129
البرز،کرج،بهاران 17/1,50.9488385,35.8530375
تهران،تهران،شورا,51.4972386,35.707367
تهران،تهران،ارامنه,51.4566669,35.7203155
تهران،تهران،نماز,51.4296746,35.5980912
تهران،تهران،شهرک قدس,51.3397612,35.7871439
البرز،کرج،حصار(کرج),51.0145932,35.8114248
تهران،تهران،مشکین دشت(کرج),50.93908998446427,35.84005235141332
تهران،تهران،سایر مناطق (داخل شهر),51.36780660557438,35.71378028773021
تهران،تهران،عباس آباد  -  اندیشه,51.4427856,35.7313461
تهران،تهران،جهانشهر(کرج),50.966782543037155,35.829590350000004
البرز،کرج،کرج - کرج,50.9904681,35.8224892
تهران،تهران،رشدیه,51.382395,35.694057
تهران،تهران،جمهوری,51.3820294,35.6970345
تهران،تهران،ارتش,51.4977996,35.795259
تهران،تهران،کوی بیمه,51.3181886,35.7053748
البرز،کرج،ذوب آهن(کرج),50.98148813648089,35.791082
تهران،تهران،برق آلستوم,51.35303072012742,35.72429805
تهران،تهران،امامزاده عبدالله,51.43743377939262,35.5966483
البرز،کرج،ونک,50.967615467413324,35.765440721370666
البرز،کرج،باغستان(کرج),50.9491609,35.8792207
تهران،تهران،نبی اکرم,51.4762394,35.6825981
تهران،تهران،وکیل آباد,51.311178086308885,35.75102856582837
تهران،تهران،ظفر,51.4114101,35.6898951
تهران،تهران،تهران_آزادی,51.4634035,35.6677023
تهران،تهران،دردشت,51.5076081,35.7277074
تهران،تهران،ملاصدرا,51.4085786,35.7574235
تهران،تهران،خیابان دماوند,52.0258713,35.6850888
تهران،تهران،شمس آبادی,51.4662062,35.7098563
تهران،تهران،آیت الله غفاری,51.6609488,35.3172405
تهران،تهران،آهنگ,51.476794,35.6634373
تهران،تهران،دانشگاه تهران,51.3982903,35.7052672
تهران،تهران،هاشمی,51.3593942,35.6846963
البرز،کرج،انرژی اتمی(کرج),50.98814727396093,35.86647846934634
البرز،کرج،میدان نبوت(کرج),50.988636804512765,35.8430839932432
