,0
تهران،تهران،شهرک غرب,183
تهران،تهران،جمالزاده,96
تهران،تهران،ولنجک,58
تهران،تهران،نیاوران,47
تهران،تهران،ظفر,47
تهران،تهران،ستارخان,35
تهران،تهران،تهرانپارس (منطقه 8),28
تهران،تهران،دربند,25
تهران،تهران،شریعتی,24
تهران،تهران،شهرری,22
تهران،تهران،سهروردی,21
تهران،تهران،جنت آباد,21
تهران،تهران،لویزان  -  شیان,19
تهران،تهران،سعادت آباد,19
تهران،تهران،بلوار مرزداران,18
تهران،تهران،یوسف آباد,16
تهران،تهران،تهرانپارس (منطقه ۴),16
تهران،تهران،نارمک,16
تهران،تهران،ونک,15
تهران،تهران،ازگل,14
تهران،تهران،پاسداران,14
تهران،تهران،سیدخندان,14
تهران،تهران،اشرفی اصفهانی,13
تهران،تهران،منیریه,13
تهران،تهران،زعفرانیه,12
تهران،تهران،آزادی,12
تهران،تهران،سردار جنگل,12
تهران،تهران،عباس آباد,11
تهران،تهران،صادقیه,11
تهران،تهران،اقدسیه,11
تهران،تهران،شهران,11
تهران،تهران،کارگر شمالی,10
تهران،تهران،پیروزی,10
تهران،تهران،امیرآباد,10
تهران،تهران،حکیمیه,10
تهران،تهران،خیابان دماوند,10
تهران،تهران،جیحون,10
تهران،تهران،جمهوری,9
تهران،تهران،قیطریه,9
تهران،تهران،جردن  -  ولیعصر,9
تهران،تهران،مینی سیتی,9
تهران،تهران،بلوار فردوس,9
تهران،تهران،هروی,8
تهران،تهران،فاطمی,8
تهران،تهران،شیخ بهایی,8
تهران،تهران،تجریش,8
تهران،تهران،ابوذر (منطقه 14),8
تهران،تهران،فردوس غرب,8
تهران،تهران،ولیعصر,8
تهران،تهران،میدان ولیعصر,7
تهران،تهران،سراج,7
تهران،تهران،پونک,7
تهران،تهران،میدان حر,7
تهران،تهران،اتوبان محلاتی,7
البرز،کرج،مهرشهر(کرج),7
یزد،یزد،مجیدیه شمالی,7
تهران،تهران،باغ فیض,7
تهران،تهران،جردن,7
تهران،تهران،شهرک اکباتان,7
تهران،تهران،طرشت,7
تهران،تهران،فلسطین  -  انقلاب,7
تهران،تهران،دروازه شمیران,7
تهران،تهران،وردآورد,6
تهران،تهران،افسریه,6
تهران،تهران،مجیدیه جنوبی,6
تهران،تهران،میرداماد,6
تهران،تهران،پیچ شمرون,6
تهران،تهران،تهرانسر,5
تهران،تهران،ایرانشهر,5
تهران،تهران،میدان سپاه,5
تهران،تهران،کارون,5
تهران،تهران،دروس,5
تهران،تهران،قلهک,5
تهران،تهران،بازار,5
تهران،تهران،شاد آباد,5
تهران،تهران،شمس آباد  -  مجیدیه,5
تهران،تهران،شهرک مخابرات,5
تهران،تهران،نظام آباد,5
تهران،تهران،شیخ فضل الله,5
تهران،تهران،تهران نو,5
تهران،تهران،سوهانک,4
تهران،تهران،شهرزیبا,4
تهران،تهران،دیباجی,4
خراسان رضوی،مشهد،مشهد,4
تهران،تهران،شهر زیبا,4
تهران،تهران،فرحزاد,4
تهران،تهران،دامپزشکی,4
تهران،تهران،میدان المپیک,4
تهران،تهران،هفت تیر,4
تهران،تهران،اتوبان باکری,4
تهران،تهران،کریمخان,4
تهران،تهران،شهرک محلاتی,4
تهران،تهران،بزرگراه شهید خرازی,4
تهران،تهران،کیانشهر,4
