,0
تهران،تهران،قیام,1131
تهران،تهران،چیتگر,77
تهران،تهران،اقدسیه,57
خراسان رضوی،مشهد،شیخ صدوق,39
تهران،تهران،تهرانپارس (منطقه ۴),38
تهران،تهران،تهرانپارس (منطقه 8),35
تهران،تهران،تهرانپارس,33
تهران،تهران،نارمک,15
تهران،تهران،سعادت آباد,12
تهران،تهران،رباطکریم,11
تهران،تهران،ده ونک,11
تهران،تهران،شهرک شریعتی,8
تهران،تهران،مالک اشتر,8
اصفهان،اصفهان،سایر مناطق (خارج شهر),6
لرستان،خرم آباد،کوی فلسطین (منطقه7),6
لرستان،خرم آباد،پشته حسین آباد (منطقه8),6
تهران،تهران،شهرک غرب,5
خراسان رضوی،مشهد،مشهد,5
خراسان رضوی،مشهد،سجاد,4
البرز،کرج،کمالشهر(کرج),3
البرز،کرج،باغستان(کرج),2
خراسان رضوی،مشهد،شهرک‌ شهید رجایی,2
آذربایجان شرقی،تبریز،امامیه,2
اصفهان،اصفهان،پروین,2
اصفهان،اصفهان،بزرگراه نواب صفوی,2
خراسان رضوی،مشهد،بلوار‌توس,1
فارس،شیراز،بلوار رحمت,1
تهران،تهران،میدان انقلاب,1
تهران،تهران،ونک,1
تهران،تهران،سراج,1
قزوین،قزوین،سرتک,1
البرز،کرج،گوهردشت(کرج),1
خراسان رضوی،مشهد،ابوطالب,1
اصفهان،اصفهان،عبد الرزاق,1
البرز،کرج،سایر- کرج,1
البرز،کرج،کرج - کرج,1
تهران،تهران،اتوبان کردستان,1
اصفهان،اصفهان،چهار باغ بالا,1
آذربایجان شرقی،تبریز،منبع آب,1
آذربایجان شرقی،تبریز،ائل گلی,1
گیلان،رشت،بیستون,1
هرمزگان،کیش،بلوار میرمهنا,1
تهران،تهران،تهران_آزادی,1
تهران،تهران،اشرفی اصفهانی,1
آذربایجان شرقی،تبریز،ارم,1
فارس،شیراز،پاسارگاد,1
